NAME,COMPONENT_ID,ABBREVIATION,EXTERNAL_NAME,BASE_NAME,COMPONENT_TYPE,LAB_DATA_TYPE_C,COMMON_NAME,LOINC_CODE,COMPONENT_SUBTYPE_C,RECORD_STATE,GROUP_TYPE_C,DEFAULT_LOW,DEFAULT_HIGH,DFLT_UNITS,,
"AMINOFLUNITRAZEPAM,7 (CUTOFF 25 NG/ML)",9484,,7-Aminoflunitrazepam (cutoff 25 ng/mL),7AMINOFLUNIT,,,"AMINOFLUNITRAZEPAM, 7 (CUTOFF 25 NG/ML)",61032-9,,,,,,,,
AMINOLEVULINIC ACID UMOL/DAY,1748,,Aminolevulinic Acid/24 Hr,,,,AMINOLEVULINIC ACID UMOL/DAY,,,2,,,,,,
AMINOLEVULINIC ACID UMOL/DAY,4566,AMNLVLNCAC,Aminolevulinic Acid/24 Hr,AMNLVLNCACUD,1,,AMINOLEVULINIC ACID UMOL/DAY,14689-4,,,,,,umol/d,,
AMINOLEVULINIC ACID UMOL/L,1747,,Aminolevulinic Acid/volume,,,,AMINOLEVULINIC ACID UMOL/L,,,2,,,,UMOL/L,,
AMINOLEVULINIC ACID UMOL/L,4565,AMNLVLNCAC,Aminolevulinic Acid/volume,AMNLVLNCACUL,1,,AMINOLEVULINIC ACID UMOL/L,34284-0,,,,,,umol/L,,
AMIODARONE,1849,,Amiodarone,,,,AMIODARONE,,,2,,,,UG/ML,,
AMIODARONE,488,AMIODARONE,Amiodarone,AMIODARONE,1,,AMIODARONE,3330-8,,,,,,ug/mL,,
AMIODARONE,4202,,Amiodarone,,,,AMIODARONE,,,2,,,,UG/ML,,
AMITRIPTYLINE,811,,Amitriptyline,,,,AMITRIPTYLINE,,,2,,,,NG/ML,,
AMITRIPTYLINE,13956,,Amitriptyline,AMITRIPTYLIN,,,AMITRIPTYLINE,16225-5,,,,,,,,
AMITRIPTYLINE,3634,AMTRPTYLN,Amitriptyline,AMTRPTYLN,1,,AMITRIPTYLINE,3333-2,,,,,,ng/mL,,
AMITRIPTYLINE + NORTRIPTYLINE,813,,"Amitriptyline/Nortriptyline, Total",,,,AMITRIPTYLINE + NORTRIPTYLINE,,,2,,,,NG/ML,,
AMITRIPTYLINE + NORTRIPTYLINE,3633,AMTRPTYLNR,"Amitriptyline/Nortriptyline, Total",AMTRPTYLNRTR,1,,AMITRIPTYLINE + NORTRIPTYLINE,3335-7,,,,,,ng/mL,,
AMITRIPTYLINE SERUM/PLASMA,314,AMITRIPUR,"Amitriptyline, S/P",AMITRIPUR,1,,"AMITRIPTYLINE, S/P",16114-1,,,,,,ng/mL,,
"AMITRIPTYLINE, QUANT, URN",9461,AMITRIPUR,"Amitriptyline, Qnt, Urine",AMITRIPUR,1,,"AMITRIPTYLINE, QUANT, URN",16114-1,,,,,,ng/mL,,
"AMITRIPTYLINE/NORTRIPTYLINE TOTAL, URN",9463,AMITNORTRI,"Amitriptyline/Nortriptyline Total, Urine",AMITNORTRIUR,1,,"AMITRIPTYLINE/NORTRIPTYLINE TOTAL, URN",10978-5,,,,,,ng/mL,,
"AML WITH MDS, THERAPY-RELATED AML, FISH",8427,AMLWTHMDST,"AML w/ MDS, Therapy-Related AML, FISH",AMLWTHMDSTHR,1,,"AML WITH MDS, THERAPY-RELATED AML",57802-1,,,,,,,,
"AML1-ETO, T(8;21) BY RT-PCR",4874,,"AML1-ETO, t(8;21) by RT-PCR",AML1T821BYRT,,,"AML1-ETO, T(8;21) BY RT-PCR",21819-8,,,,,,,,
AMMON ACID URATE KS,14180,,Ammon Acid Urate Ks,AMMONACIDURA,,,AMMON ACID URATE KS,38191-3,,,,,,,,
AMMONIA,14056,,Ammonia,AMMONIA,,,AMMONIA,22763-7,,,,,,,,
AMMONIA,431,,Ammonia,,,,AMMONIA,,,2,,,,UMOL/L,,
"AMMONIA, PLASMA",1070,,"Ammonia, Plasma",,,,"AMMONIA, PLASMA",,,2,,,,UMOL/L,,
"AMMONIA, PLASMA",2822,AMNPLSM,"Ammonia, Plasma",AMNPLSM,1,,"AMMONIA, PLASMA",16362-6,,,,,,umol/L,,
AMMONIATED LATEX EXTRACT (AL),1783,,"Ammoniated Latex Extract, Allergen",AMNTDLTXEXTR,,,AMMONIATED LATEX EXTRACT (AL),6845-2,,,,,,,,
"AMMONIUM BIURATE CRYSTALS, (URINE) - EXTERNAL",17869,ABCRYURN,"Ammonium Biurate Crystals, Urine - External",ABCRYURN,,,"AMMONIUM BIURATE CRYSTALS, (URINE) - EXTERNAL",,,,,,,"/""HPF""",,
"AMMONIUM, 24 HOUR URINE ",17036,,"Ammonium,Urine",AMMONMURN,,,"AMMONIUM, 24 HOUR URINE",25308-8,,,,,,,,
"AMNIOCYTE CULTURE, FOUR FLASK",4875,,"Amniocyte Culture, Four Flask",AMNCYTCLTRFR,,,"AMNIOCYTE CULTURE, FOUR FLASK",,,,,,,,,
"AMNIOCYTE CULTURE, TWO FLASK",4876,,"Amniocyte Culture, Two Flask",AMNCYTCLTRTW,,,"AMNIOCYTE CULTURE, TWO FLASK",,,,,,,,,
AMNIOTIC BILIRUBIN SCAN,4877,,Amniotic Bilirubin Scan,AMNTCBLRBNSC,,,AMNIOTIC BILIRUBIN SCAN,27198-1,,,,,,od,,
AMNISURE,13033,,AmniSure,AMNISURE,,,AMNISURE,,,,,,,,,
AMOBARB CONF BLD,14654,,Amobarb Conf Bld,AMOBARBCONFB,,,AMOBARB CONF BLD,82973-9,,,,,,,,
AMOBARB GCMS U,14729,,Amobarb GCMS U,AMBRBGCMS,,,AMOBARB GCMS U,16239-6,,,,,,,,
AMOBARB GCMS UR,13964,,Amobarb GCMS Ur,AMBRBGCMS,,,AMOBARB GCMS UR,16239-6,,,,,,,,
AMOBARB UR,14759,,Amobarb Ur,AMBRBR,,,AMOBARB UR,3339-9,,,,,,,,
AMOBARBITAL,13948,,Amobarbital,AMOBARBITAL,,,AMOBARBITAL,16190-1,,,,,,,,
AMOBARBITAL,4878,,Amobarbital,AMBRBSPQNT,,,AMOBARBITAL,3338-1,,,,,,,,
AMOBARBITAL (CUTOFF 40 NG/G),9006,,Amobarbital (cutoff 40 ng/g),AMBRBTLCO40,,,AMOBARBITAL (CUTOFF 40 NG/G),,,,,,,,,
AMOBARBITAL (CUTOFF 75 NG/ML),7545,,Amobarbital (cutoff 75 ng/mL),AMBRBTLCTF75,,,AMOBARBITAL (CUTOFF 75 NG/ML),3337-3,,,,,,,,
AMOBARBITAL OF,14483,,Amobarbital Of,AMOBARBITALO,,,AMOBARBITAL OF,72455-9,,,,,,,,
AMOBARBITAL UR,14156,,Amobarbital Ur,AMBRBR,,,AMOBARBITAL UR,3339-9,,,,,,,,
AMOBARBITAL URINE,17070,,Amobarbital,AMBRBTLUR,,,AMOBARBITAL URINE,112300,,,,,,,,
"AMOBARBITAL, S/P, QUANT",11126,AMBRBSPQNT,"Amobarbital, S/P, Qnt",AMBRBSPQNT,1,,"AMOBARBITAL, S/P, QUANT",3338-1,,,,,,ng/mL,,
"AMOBARBITAL, URN, QUANT",11131,AMBRBURNQN,"Amobarbital, Urn, Qnt",AMBRBURNQNT,1,,"AMOBARBITAL, URN, QUANT",11230-0,,,,,,ng/mL,,
"AMOEBA, CALCOFLUOR STAIN",4658,ACNTHMBCLT,"Amoeba, Calcofluor Stain",ACNTHMBCLTR,1,,ACANTHAMOEBA STAIN,9781-6,,,,,,,,
AMORPHOUS CELLS,12210,,Amorphous cells,AMORPHCELL,,,AMORPHOUS CELLS,,,,,,0.9,M/mL,,0.9
"AMORPHOUS CELLS, FINAL",12450,,Final Amorphous cells,FAMORPHCELL,,,"AMORPHOUS CELLS, FINAL",,,,,,0.9,M/mL,,0.9
AMORPHOUS CRYSTALS,11389,,Amorphous Crystals,AMRPHSCRSTLS,,,AMORPHOUS CRYSTALS,55368-5,,,,,,,,
"AMORPHOUS CRYSTALS, (URINE) - EXTERNAL",17870,AMORCRYURN,"Amorphous Crystals, Urine - External",AMORCRYURN,,,"AMORPHOUS CRYSTALS, (URINE) - EXTERNAL",,,,,,,/hpf,,
AMOXAPINE,14157,,Amoxapine,AMOXAPINE,,,AMOXAPINE,3342-3,,,,,,,,
AMOXAPINE,4879,AMOXAPINE,Amoxapine,AMOXAPINE,1,,AMOXAPINE,3341-5,,,,,,,,
AMOXICILLIN,2098,,Amoxicillin,AMOXICILLIN,,,AMOXICILLIN,,,2,,,,,,
AMOXICILLIN/CLAVULANATE,12284,,Amoxicillin/Clavulanate,MXCLNCLVLNT,3,,AMOXICILLIN/CLAVULANATE,18862-3,,,,,,,,
AMOXICILLIN/CLAVULANIC A(AUGME,295,,Amoxicillin/Clavulanic A (Augme,AMXCLNCLVLNC,,,AMOXICILLIN/CLAVULANIC A(AUGME,,,2,,,,,,
"AMPA-RECEPTOR (GLUR1/2) AB IGG, CSF",10670,,"AMPA-Receptor (GluR1/2) Ab IgG, CSF",AMPRECABIGCS,,,"AMPA-RECEPTOR (GLUR1/2) AB IGG, CSF",,,,,,,,,
"AMPA-RECEPTOR (GLUR1/2) AB IGG, SERUM",10671,,"AMPA-Receptor (GluR1/2) Ab IgG, Serum",AMPARECABIGS,,,"AMPA-RECEPTOR (GLUR1/2) AB IGG, SERUM",,,,,,,,,
"AMPAR1 AB, CBA",16378,,"AMPAR1 AB, CBA",AMPAR1ABCBA,,,"AMPAR1 AB, CBA",93869-6,,,,,,,,
"AMPAR1 AB, CBA, CSF",11649,,"AMPAR1 Ab, CBA, CSF",AMPAR1ABCSF,,,AMPAR1ABCSF,,,,,,,,,
"AMPAR2 AB, CBA",16382,,"AMPAR2 AB, CBA",AMPAR2ABCBA,,,"AMPAR2 AB, CBA",93868-8,,,,,,,,
"AMPAR2 AB, CBA, CSF",11650,,"AMPAR2 Ab, CBA, CSF",AMPAR2ABCSF,,,AMPAR2ABCSF,,,,,,,,,
AMPHET CONF BLD,14648,,Amphet Conf Bld,AMPHETCONFBL,,,AMPHET CONF BLD,82967-1,,,,,,,,
AMPHET GCMS U,13960,,Amphet Gcms U,AMPHETGCMSU,,,AMPHET GCMS U,16234-7,,,,,,,,
AMPHET SCR UR,14001,,Amphet Scr Ur,AMPHETUR,,,AMPHET SCR UR,19261-7,,,,,,,,
AMPHET U,14737,,Amphet U,AMPHT,,,AMPHET U,19344-1,,,,,,,,
AMPHET UR,13539,,Amphet Ur,STMLNTAMNSDT,,,AMPHET UR,3349-8,,,,,,,,
AMPHETAMINE,1436,,Amphetamine,,,,AMPHETAMINE,,,2,,,,,,
AMPHETAMINE,14005,,Amphetamine,AMPHT,,,AMPHETAMINE,19344-1,,,,,,,,
AMPHETAMINE,1449,,Amphetamine,,,,AMPHETAMINE,,,2,,,,,,
AMPHETAMINE (CUTOFF 20 NG/ML),7546,,Amphetamine (cutoff 20 ng/mL),AMPHTMNCTF20,,,AMPHETAMINE (CUTOFF 20 NG/ML),66127-2,,,,,,,,
AMPHETAMINE D/L RATIO,9710,,Amphetamine D/L Ratio,AMPHDLRTIO,,,AMPHETAMINE D/L RATIO,13497-3,,,,,,,,
AMPHETAMINE OF,14503,,Amphetamine Of,AMPHETAMINEO,,,AMPHETAMINE OF,72758-6,,,,,,,,
AMPHETAMINE ORAL FL,13561,,Amphetamine Oral Fl,AMPHETAMINEO,,,AMPHETAMINE ORAL FL,72758-6,,,,,,,,
AMPHETAMINE UMB CORD,9007,AMPHTMNCO8,Amphetamine umb cord,AMPHTMNCO8,1,,AMPHETAMINE UMB CORD,29530-3,,,,,,,,
AMPHETAMINE URINE,17061,,Amphetamine,AMPHETMNUR,,,AMPHETAMINE,19346-6,,,,,,,,
"AMPHETAMINE, S/P, INTERPRETATION",10510,,"Amphetamine, S/P, Interpretation",AMPHSPINTERP,,,"AMPHETAMINE, S/P, INTERPRETATION",,,,,,,,,
"AMPHETAMINE, S/P, QUANT",10511,AMPHETSP,"AMP, S/P, Qnt",AMPHETSP,1,,"AMPHETAMINE, S/P",30112-7,,,,,,ng/mL,,
"AMPHETAMINE, U",9363,AMPHTMN50,"Amphetamine, U",AMPHTMN50,1,,AMPHETAMINE (50 NG/ML),19343-3,,,,,,,,
"AMPHETAMINE, URINE, INTERPRETATION",10516,,"Amphetamine, Urine, Interpretation",AMPHURNINTER,,,"AMPHETAMINE, URINE, INTERPRETATION",,,,,,,,,
"AMPHETAMINE, URN QUANT",10517,AMPHETU,"AMP, Urn, Qnt",AMPHETURINE,1,,"AMPHETAMINE, URINE",19346-6,,,,,,ng/mL,,
"AMPHETAMINE-LIKE, HIGH RES URINE",9362,,"Amphetamine-Like, High Res Urine",AMPHTMLKUR,,,"AMPHETAMINE-LIKE, HIGH RES URINE",,,,,,,,,
AMPHETAMINE/METHAMPHETAMINE,14194,,Amphetamine/Methamphetamine,AMPHETMETH,,,AMPHETAMINE/METHAMPHETAMINE,40419-4,,,,,,,,
AMPHETAMINES,340,,Amphetamines,AMPHETAMINES,,,AMPHETAMINES,,,2,,,,,,
AMPHETAMINES,13559,,Amphetamines,AMPHETAMINES,,,AMPHETAMINES,,,,,,,,,
AMPHETAMINES,1545,,Amphetamines,,,,AMPHETAMINES,,,2,,,,,,
AMPHETAMINES SCRN OF,14198,,Amphetamines Scrn Of,AMPHETAMINES,,,AMPHETAMINES SCRN OF,40799-9,,,,,,,,
AMPHETAMINES UR,15244,,Amphetamines Ur,URNAMPHTMNS,,,AMPHETAMINES UR,19343-3,,,,,,,,
AMPHETAMINES URINE,17060,,Amphetamines,AMPHETUR,,,AMPHETAMINES,3349-8,,,,,,,,
"AMPHETAMINES, IA",14275,,"Amphetamines, Ia",AMPHETAMINES,,,"AMPHETAMINES, IA",48939-3,,,,,,,,
"AMPHETAMINES, MECONIUM",7121,AMPHTMNSMC,"Amphetamines, Meconium",AMPHTMNSMCNM,1,,"AMPHETAMINES, MECONIUM",26895-3,,,,,,,,
"AMPHETAMINES, S/P",1695,,"Amphetamines, S/P",,,,"AMPHETAMINES, S/P",,,2,,,,,,
"AMPHETAMINES, SERUM OR PLASMA",4151,AMPHTMNSRM,"Amphetamines, S/P",AMPHTMNSRMOR,1,,"AMPHETAMINES, SERUM OR PLASMA",8149-7,,,,,,,,
"AMPHETAMINES, URINE",2718,AMPHETUR,"Amphetamines, Urine",AMPHETUR,1,,"AMPHETAMINES, URINE",19348-2,,,,,,,,
"AMPHETAMINES, URINE",2932,,"Amphetamines, Urine",,,,"AMPHETAMINES, URINE",,,2,,,,,,
"AMPHETAMINES, URINE",1150,,"Amphetamines, Urine",,,,"AMPHETAMINES, URINE",,,2,,,,,,
"AMPHIPHYSIN AB, IFA, CSF",15566,,"AMPHIPHYSIN AB, IFA, CSF",AMPHICSF,1,,"AMPHIPHYSIN AB, IFA, CSF",,,,,,,,,
AMPHIPHYSIN ANTIBODY,17919,,Amphiphysin Antibody,AMPHPHYSNAB,,,AMPHIPHYSIN ANTIBODY,33422-7,,,,,,,,
AMPHOTERICIN B,12285,,Amphotericin B,MPHTRCNB,3,,AMPHOTERICIN B,18863-1,,,,,,,,
AMPICILLIN,185,,Ampicillin,AMPICILLIN,,,AMPICILLIN,,,2,,,,,,
AMPICILLIN,12286,,Ampicillin,MPCLN,3,,AMPICILLIN,18864-9,,,,,,,,
AMPICILLIN/SULBACTAM,253,,Ampicillin/Sulbactam,AMPCLNSLBCTM,,,AMPICILLIN/SULBACTAM,,,2,,,,,,
AMPICILLIN/SULBACTAM,12287,,Ampicillin/Sulbactam,MPCLNSLBCTM,3,,AMPICILLIN/SULBACTAM,18865-6,,,,,,,,
AMY (PIC),12048,,Amy (PIC),AMYPIC,,,AMY (PIC),,,,,,,U/L,,
"AMYL ALCOHOL, PLASMA",4880,,"Amyl Alcohol, S/P",AMYLALCHLPLS,,,"AMYL ALCOHOL, PLASMA",,,,,,,,,
AMYLASE,173,,Amylase,AMYLASE,,,AMYLASE,,,2,,,,U/L,,
AMYLASE - EXTERNAL,16571,AMYLASE,Amylase - External,AMYLASE,,,AMYLASE,,,,,,,U/L 37,,
AMYLASE - EXTERNAL,16570,AMYLASE,Amylase - External,AMYLASE,,,AMYLASE - EXTERNAL,,,,,,,U/L,,
AMYLASE FLUID SOURCE,11829,MLSFLDSRC,Amylase Fluid Source,MLSFLDSRC,1,,AMYLASE FLUID SOURCE,,,,,,,,,
"AMYLASE, BODY FLUID",4881,AMYLSBDYFL,"Amylase, Body Fluid",AMYLSBDYFLD,1,,"AMYLASE, BODY FLUID",1795-4,,,,,,U/L,,
"AMYLASE, MONOMERIC",7828,AMYLSMNMRC,"Amylase, Monomeric",AMYLSMNMRC,1,,"AMYLASE, MONOMERIC",2591-6,,,,,,U/L,,
"AMYLASE, PERCENT MONOMERIC",7829,AMYLSPRCNT,"Amylase, % Monomeric",AMYLSPRCNTMN,1,,"AMYLASE, PERCENT MONOMERIC",26011-7,,,,,,%,,
"AMYLASE, PLASMA OR SERUM",3736,AMYLASE,"Amylase, S/P",AMYLASE,1,,AMYLASE,1798-8,,,,,,U/L,,
"AMYLASE, SERUM - U/L",1607,,"Amylase, S - U/L",,,,"AMYLASE, SERUM - U/L",,,2,,,,U/L,,
"AMYLASE, TOTAL",7830,AMYLASE,"Amylase, Total",AMYLASE,1,,"AMYLASE, TOTAL",1798-8,,,,,,,,
"AMYLASE, URINE",4883,,"Amylase, Urine U/L",AMYLSUR,,,"AMYLASE, URINE",1799-6,,,,,,U/L,,
"AMYLASE, URINE U/HR",4882,,"Amylase, Urine U/hr",AMYLSURUHR,,,"AMYLASE, URINE U/HR",1800-2,,,,,,u/hr,,
AMYLOID BETA 40 PEPTIDE,15604,,AMYLOID BETA 40 PEPTIDE,ABETA40,1,,AMYLOID BETA 40 PEPTIDE,,,,,,,pg/mL,,
AMYLOID BETA 42 (ABETA42),1236690501,ABETA42,Amyloid beta 42 (Abeta42),ABETA42,1,,AMYLOID BETA 42 (ABETA42),,,,,,,,,
AMYLOID BETA 42 PEPTIDE,15605,,AMYLOID BETA 42 PEPTIDE,ABETA42,1,,AMYLOID BETA 42 PEPTIDE,,,,,,,pg/mL,,
AMYLOID BETA 42/40 RATIO,15607,,Amyloid Beta 42/40 Ratio,AMYLOIDBETA4,,,AMYLOID BETA 42/40 RATIO,,,,,,,,,
ANA,3,,ANA,,,,ANA,,,2,,,,,,
ANA 12 PROFILE INTERPRETATION,17128,,ANA 12 Profile Interpretation,ANA12PROINT,,,ANA 12 PROFILE INTERPRETATION,,,,,,,,,
"ANA BY IFA, IGG",1020,,"ANA by IFA, IgG",ANAIGG,,,"ANA BY IFA, IGG",56634-9,,,,,,,,
ANA DETECT NOTE,15143,,ANA Detect Note,HCVGNNT,,,ANA DETECT NOTE,77202-0,,,,,,,,
ANA DIRECT,15280,,ANA Direct,ANDRCT,,,ANA DIRECT,8061-4,,,,,,,,
ANA DISEASE NOTE,13680,,Ana Disease Note,ANADISEASENO,,,ANA DISEASE NOTE,,,,,,,,,
ANA DISEASE NOTE,13679,,Ana Disease Note,ANADISEASENO,,,ANA DISEASE NOTE,,,,,,,,,
ANA EVALUATION,156,,ANA Evaluation,ANAEVAL,,,ANA EVALUATION,,,2,,,,,,
ANA INTERPRETIVE COMMENT,12525,ANATRPCMT,ANA Interpretive Comment,ANATRPCMT,1,,ANA INTERPRETIVE COMMENT,49311-4,,,,,,,,
ANA NOTE,13678,,Ana Note,ANANOTE,,,ANA NOTE,,,,,,,,,
ANA PATTERN,12526,ANAPTRN,ANA Pattern,ANAPTRN,1,,ANA PATTERN,,,,,,,,,
ANA PATTERN,4884,,ANA Pattern,ANAPATTERN,,,ANA PATTERN,,,2,,,,,,
ANA PATTERN 2,12528,ANAPTRN2,ANA Pattern 2,ANAPTRN2,1,,ANA PATTERN 2,,,,,,,,,
ANA PLUS 12 INTERPRETATION,16043,,ANA Plus 12 Interpretation,ANAPLUS12INT,,,ANA PLUS 12 INTERPRETATION,,,,,,,,,
ANA PROFILE 12 NOTE,17129,,Note,ANAPRO12NOTE,,,ANA PROFILE 12 NOTE,77202-0,,,,,,,,
ANA REFLEX,1363,,ANA Reflex,,,,ANA REFLEX,,,2,,,,,,
"ANA SCREEN, IFA",13437,,"Ana Screen, Ifa",NSCRNF,,,"ANA SCREEN, IFA",42254-3,,,,,,,,
ANA TITER,309,,ANA Titer,,,,ANA TITER,,,2,,,,TITER,,
ANA TITER,12527,ANATR,ANA Titer,ANATR,1,,ANA TITER,,,,,,,,,
ANA TITER 2,12529,ANATR2,ANA Titer 2,ANATR2,1,,ANA TITER 2,,,,,,,,,
"ANABASINE, URINE",2195,,"Anabasine, Urine",,,,"ANABASINE, URINE",,,2,,,,,,
"ANABASINE, URINE - EXTERNAL",15807,ANBSNUR,"Anabasine, Urine, Quantitative - External",ANBSNUR,,,"ANABASINE, URINE, QUANTITATIVE - EXTERNAL",,,,,,,ng/mL,,
"ANABASINE, URINE, QUANTITATIVE",3896,ANBSNUR,"Anabasine, Urine, Quantitative",ANBSNUR,1,,"ANABASINE, URINE",33915-0,,,,,,ng/mL,,
ANABOLIC STEROIDS,4885,,Anabolic Steroids Panel,ANBLCSTRDS,,,ANABOLIC STEROIDS,9409-4,,,,,,,,
"ANABOLIC STEROIDS CONFIRMATION, URINE",12826,STEROIDCNF,"Anabolic Steroids Confirmation, Urine",NBSRCFUR,1,,"ANABOLIC STEROIDS CONFIRMATION, URINE",,,,,,,,,
"ANABOLIC STEROIDS SCREEN, URINE",9934,STEROIDS,"Anabolic Steroids Scrn, Urine",NBLCSTRDSSCR,1,,"ANABOLIC STEROIDS SCREEN, URINE",43977-8,,,,,,,,
ANACHOICE(R) SCREEN,13436,,Anachoice(R) Screen,ANDRCT,,,ANACHOICE(R) SCREEN,8061-4,,,,,,,,
ANAEROBE ID W/RFLX TO SUSCEP PRELIM,17746,,Anaerobe ID w/Rflx to Suscep Prelim,ANAIDSUSOBS,,,ANAEROBE ID W/RFLX TO SUSCEP PRELIM,20878-5,,,,,,,,
ANAEROBE ID/SUSCEPTIBILITY OBSERVATIONS,10424,,Anaerobe ID/Susceptibility OBS,ANAIDSUSOBS,,,ANAEROBE ID/SUSCEPTIBILITY OBSERVATIONS,20878-5,,,,,,,,
ANAEROBIC CULT1,14996,,Anaerobic Cult1,ANRBCCLT1,,,ANAEROBIC CULT1,6463-4,,,,,,,,
ANAEROBIC CULT2,14997,,Anaerobic Cult2,ANRBCCLT1,,,ANAEROBIC CULT2,6463-4,,,,,,,,
ANAEROBIC CULT3,14998,,Anaerobic Cult3,ANRBCCLT1,,,ANAEROBIC CULT3,6463-4,,,,,,,,
ANAEROBIC CULT4,14999,,Anaerobic Cult4,ANRBCCLT1,,,ANAEROBIC CULT4,6463-4,,,,,,,,
ANAEROBIC CULTURE GS,10253,,Anaerobic Culture GS,ANERCULGS,,,ANAEROBIC CULTURE GS,635-3,,,,,,,,
ANAEROBIC CULTURE OBSERVATIONS,10212,,Anerobic Culture Observation,ANEROBCULOBE,,,ANAEROBIC CULTURE OBSERVATIONS,635-3,,,,,,,,
ANALYSIS & GATING STRATEGY LEUKLYM,13691,,Analysis & Gating Strategy Leuklym,ANALYSISGAT,,,ANALYSIS & GATING STRATEGY LEUKLYM,,,,,,,,,
ANAPLASMA PHAGOCYTOPHILUM,9607,ANPLSMAPHG,A. phagocytophilum by PCR,ANPLSMAPHGCY,1,,ANAPLASMA PHAGOCYTOPHILUM,30039-2,,,,,,,,
ANAPLASMA PHAGOCYTOPHILUM BY PCR,9896,,A. phagocytophilum by PCR,ANPLSMPHPCR,,,ANAPLASMA PHAGOCYTOPHILUM BY PCR,,,2,,,,,,
ANAPLASMA PHAGOCYTOPHILUM BY RT-PCR,7500,,A. phagocytophilum by RT-PCR,ANPLSMAPHGCY,,,ANAPLASMA PHAGOCYTOPHILUM BY RT-P,30039-2,,,,,,,,
ANCA (IFA-FORMALIN),16443,,ANCA (IFA-Formalin),PANCAOFAFLN,,,P-ANCA (IFA-FORMALIN),17357-5,,,,,,,,
ANCA BY IFA (RDL),16717,,ANCA by IFA (RDL),ANCAIFARDL,,,ANCA BY IFA (RDL),29641-8,,,,,,,,
ANCA IFA PATTERN,17611,ANCIFAPTRN,ANCA IFA Pattern,ANCIFAPTRN,1,,ANCA IFA PATTERN,,,,,,,,,
ANCA IFA TITER,17610,ANCIFATR,ANCA IFA Titer,ANCIFATR,1,,ANCA IFA TITER,,,,,,,,,
ANCA SCREEN,13435,,Anca Screen,NCSCRN,,,ANCA SCREEN,17351-8,,,,,,,,
ANCA TITER BILL,11618,,ANCA Titer Bill,ANCATIBILLRE,,,ANCA TITER BILL,,,,,,,,,
ANCILLARY POSTMORTEM STUDIES,4886,,Ancillary Postmortem Studies,ANCLRYPSTMRT,,,ANCILLARY POSTMORTEM STUDIES,,,,,,,,,
ANCILLARY STUDIES,4887,,Ancillary Studies,ANCLRYSTDS,,,ANCILLARY STUDIES,,,,,,,,,
ANDROGEN RECEPTOR IMMUNOHISTOCHEMISTRY,15969,ADRCMNO,Androgen Receptor Immunohistochemistry,ADRCMNO,1,,ANDROGEN RECEPTOR IMMUNOHISTOCHEMISTRY,,,,,,,,,
ANDROGEN RECEPTOR REFERENCE NUMBER,15970,NDRCRFNBR,Androgen Receptor Reference Number,NDRCRFNBR,1,,ANDROGEN RECEPTOR REFERENCE NUMBER,,,,,,,,,
ANDROSTANEDIOL GLUCURONIDE,2239,,Androstanediol Glucuronide,ANDRSTNDLGLC,,,ANDROSTANEDIOL GLUCURONIDE,1680-8,,,,,,ng/mL,,
ANDROSTANEDIOL GLUCURONIDE QUANTITATIVE,8441,ANDRGQUANT,Androstanediol Glucuronide Quantitative,ANDRGQUANT,1,,ANDROSTANEDIOL GLUCURONIDE QUANTI,1680-8,,,,,,ng/dL,,
ANDROSTENEDIONE,3631,,Androstenedione,ANDRSTNDNBYT,,,ANDROSTENDIONE,1854-9,,,,,,,,
ANDROSTENEDIONE BY TMS,4425,ANDRSTNDN,Androstenedione by TMS,ANDRSTNDNBYT,1,,ANDROSTENEDIONE BY TMS,1854-9,,,,,,ng/mL,,
"ANDROSTENEDIONE, NEWBORN",1942,ANDRSTNDNB,NB Androstendione,ANDRSTNDNBYT,1,,NB ANDROSTENDIONE,1854-9,,,,,,ng/mL,,
"ANDROSTERONE, SERUM",17625,,Androsterone,ANDROSTERONE,,,ANDROSTERONE,1856-4,,,,,,ng/dL,,
ANEUPLOID SPERM,12685,,Aneuploid Sperm,ANEUPLSPERM,,,ANEUPLOID SPERM,,,,,,,,,
ANEUPLOID SPERM PROBE 2,12692,,Aneuploid Sperm Probe 2,ANEUPLSPERM,,,ANEUPLOID SPERM PROBE 2,,,,,,,,,
ANEUPLOIDY PANEL BY FISH,4888,,Aneuploidy Panel by FISH,ANPLDYPNLBYF,,,ANEUPLOIDY PANEL BY FISH,50684-0,,,,,,,,
ANGEL SPECIMEN,4889,,Angelman Specimen,ANGLSPCMN,,,ANGEL SPECIMEN,,,,,,,,,
ANGELMAN AND PRADER-WILLI FETAL SPECIMEN,11122,ANGPRDWIFT,Angelman and Prader-Willi Fetal Specimen,ANGPRDWIFTSP,1,,ANGELMAN AND PRADER-WILLI FETAL SPECIMEN,31208-2,,,,,,,,
ANGELMAN AND PRADER-WILLI RESULT,8304,ANGLMNANDP,Angelman/Prader-Willi Result,ANGLMNANDPRD,1,,ANGELMAN AND PRADER-WILLI RESULT,35466-2,,,,,,,,
ANGELMAN AND PRADER-WILLI SPECIMEN,8305,ANGLMNANDP,Angelman/Prader-Willi Specimen,ANGLMNANDPRS,1,,ANGELMAN AND PRADER-WILLI SPECIME,31208-2,,,,,,,,
ANGELMAN SYNDROME,4890,ANGLMNSYND,Angelman Syndrome,ANGLMNSYNDRM,1,,ANGELMAN SYNDROME,48024-4,,,,,,,,
